idUsuario,Indicativo,Distancia,FactorCorrecion
0,3191E,11337.114315898383,2.4
1,3191E,23148.151284425312,1.7999999999999998
2,3191E,21977.544128049285,1.7999999999999998
3,3266A,19435.874001721953,4.8
4,3266A,19768.483429667667,4.8
5,3266A,20918.611642195636,4.8
6,3266A,21980.73075543117,4.8
7,3266A,19335.620856827674,4.8
8,3266A,12472.243037444126,4.8
9,3191E,16351.355970247763,1.7999999999999998
10,2462,16609.091685899555,6.0
11,2462,12029.307111480375,6.0
12,3194U,24521.244078939973,0.0
13,3194U,25152.624808972872,0.0
14,3266A,27234.53175584877,5.3999999999999995
15,3266A,25004.115976416742,4.8
16,3266A,26867.590342384035,5.3999999999999995
17,3266A,26677.775348721476,5.3999999999999995
18,3266A,26161.54801265455,5.3999999999999995
19,3266A,23042.010988893024,4.8
20,3266A,23545.03832964759,4.8
21,3191E,23572.046669083848,1.2
22,3191E,23368.083642688063,1.2
23,3191E,22749.446386119114,1.2
24,3266A,23565.905335545125,4.8
25,3194U,23833.496208615845,0.0
26,3191E,17713.391826363317,1.7999999999999998
27,3266A,18670.14333656206,4.8
28,3266A,18632.932515472065,4.8
29,3266A,21020.631300801062,4.8
30,3191E,22461.470461712477,1.7999999999999998
31,3191E,22892.951646532467,1.7999999999999998
32,3191E,23788.68126022947,1.7999999999999998
33,3191E,5392.722201841376,2.4
34,3191E,32323.74041032898,1.7999999999999998
35,3191E,24034.35219903616,1.7999999999999998
36,3266A,12330.36580787338,4.8
